;ANOVA F-value;Mutual information
ID de cluster;1.527567386264948;0.0007902186591627114
Modo de jogo;25.960395067376638;0.0007436698205376979
Tipo de jogo;16.549668409827824;0.0006466966052554235
Herói 0;56.475516433058665;0.0010133615910616655
Herói 1;54.60416460477673;0.001111719054714373
Herói 2;14.470953768566998;0.001018456771912406
Herói 3;1.7689687885089478;0.000910670480841258
Herói 4;71.91892114476231;0.000992700945707763
Herói 5;56.22296465084256;0.0012373042542903946
Herói 6;0.17787383736981524;0.0007784348464028867
Herói 7;2.4731523325818987;0.000986211884201087
Herói 8;275.2095669016901;0.002427396842057592
Herói 9;0.12864971836498082;0.0007418067323274591
Herói 10;26.351193846243078;0.0007723921584865901
Herói 11;47.36901310133929;0.0009193366970907091
Herói 12;39.59270681084986;0.0008347545301683512
Herói 13;42.64928639533114;0.0010083491415132494
Herói 14;15.78294480608309;0.0009228001348550085
Herói 15;2.883406762345992;0.0008342504484186741
Herói 16;8.512483830586532;0.000810015358547993
Herói 17;82.30784983956899;0.0009563583320075409
Herói 18;54.94344936744126;0.0009364860121562613
Herói 19;7.521995483777254;0.0008328258841363389
Herói 20;170.11670414691912;0.0013093489528804314
Herói 21;72.71353572001811;0.0008000102031778277
Herói 22;2.651834628611213;0.0007797357134977867
Herói 23;84.54358711261342;0.001211664714859102
Herói 24;26.026952601118833;0.0007075929861222518
Herói 25;20.42437010232668;0.0006403313468849658
Herói 27;0.708980642438967;0.0008259311143366354
Herói 28;10.672518408130138;0.0006749182198685477
Herói 29;2.258751572756536;0.0008317352527875688
Herói 30;20.347466352485593;0.0008432850531636982
Herói 31;119.45521605774223;0.0014141480085437185
Herói 32;5.19551918691716;0.0008434972118429718
Herói 33;39.26644091723551;0.0009160595510561498
Herói 34;1.5319577033992153;0.0008379642479803517
Herói 35;158.8013375640573;0.0014794750372821518
Herói 36;26.858313605847435;0.0007542763048963485
Herói 37;2.4128531021072464;0.0007003755424204217
Herói 38;124.51401214300418;0.0012166761510067014
Herói 39;3.359729073728042;0.0007982324313646716
Herói 40;2.163695766649198;0.0008190371181016731
Herói 41;107.21879935182936;0.0009113439353780595
Herói 42;14.669275521787432;0.0007858013729081548
Herói 43;13.946408954186218;0.001084727324165613
Herói 44;1.3215389587704105;0.0005636999034023305
Herói 45;27.3205778259513;0.0005431265563993182
Herói 46;2.2505802532242862;0.0008043943670830256
Herói 47;38.51210900001176;0.000831873742101592
Herói 48;0.15957855005446656;0.0006794727175953308
Herói 49;9.51199763323793e-05;0.0007730838120658068
Herói 50;0.2764451635818317;0.000586929632594051
Herói 51;26.361969388878226;0.000789858595842019
Herói 52;170.10439766047764;0.0014979336796105125
Herói 53;0.03954123932475196;0.0006723509625278501
Herói 54;0.38566680870808884;0.0006815240017006686
Herói 55;31.227751984440935;0.0008850064967332494
Herói 56;293.1316951770674;0.002267121517949371
Herói 57;98.79325338041302;0.0012588742592768987
Herói 58;31.88575756134534;0.0008382650124010227
Herói 59;0.004296246896970002;0.0006649882614766422
Herói 60;75.22563553774933;0.0009724354884860742
Herói 61;19.800051395045838;0.0008794146018215887
Herói 62;3.1093349729337127;0.0009805847426892077
Herói 63;9.997588478921992;0.0006109346473765997
Herói 64;27.364726371270528;0.0007973229382757152
Herói 65;8.690194937748366;0.0008573359338159436
Herói 66;72.46158745375894;0.0011929183492006023
Herói 67;5.247696440434806;0.0005499605507448968
Herói 68;39.992147421820846;0.000848186429317388
Herói 69;48.31463456635492;0.001186321095528604
Herói 70;9.540257750243782;0.0008826693478520453
Herói 71;37.49286919674164;0.0007273958400233438
Herói 72;3.7794818655439997;0.0008643825280729245
Herói 73;117.10050792495356;0.0012147537674540288
Herói 74;57.34695165942;0.0011295955472254615
Herói 75;0.9791902247135779;0.0007277378327995932
Herói 76;17.64063417711259;0.000809391838684439
Herói 77;0.2736423731002338;0.0007869199212566102
Herói 78;8.436697682556535;0.0007549952894488055
Herói 79;49.41828305870858;0.0007820901757700604
Herói 80;0.4521975652263013;0.0006478607873706243
Herói 81;15.00906162544826;0.000887078155930594
Herói 82;6.445511488682668;0.0008010199614637914
Herói 83;18.90227280762322;0.0007203216810495605
Herói 84;0.043221992119195335;0.0007371809349643654
Herói 85;54.67321185717554;0.0011938512814417955
Herói 86;2.5651182677977027;0.0008526650058849561
Herói 87;0.23550060340455203;0.0007056133817557053
Herói 88;21.551528886885446;0.0011189932447283812
Herói 89;1.263266688042119;0.0007175748990790454
Herói 90;94.3844214102429;0.0010156085422775285
Herói 91;12.405396442373522;0.0006863952377701454
Herói 92;4.673267998182666;0.0007571264237918296
Herói 93;18.221773684579592;0.0007416949041551146
Herói 94;0.28946133822094344;0.0005575068381439796
Herói 95;29.645654582303052;0.0007364641666891858
Herói 96;23.783054379214896;0.0009178522993431537
Herói 97;5.439357740928814;0.0008616696056540651
Herói 98;12.511688909890994;0.0010988872793490524
Herói 99;78.63135461363089;0.001332142584539917
Herói 100;16.99224495264683;0.0008486696417556594
Herói 101;35.15267180324137;0.0010656485009151195
Herói 102;118.59271992881534;0.0013039533883351705
Herói 103;6.442613377599482;0.00132328337742317
Herói 104;9.261554753547559;0.0006568544291406675
Herói 105;138.99163177582108;0.0011336266447693766
Herói 106;42.53248469227917;0.0008905017293264227
Herói 107;2.153604682220103;0.0007786252426741758
Herói 108;1.139607129548543;0.0008641304111269466
Herói 109;38.34657452766542;0.0009556899864805368
Herói 110;32.10456658897218;0.001088197420971142
Herói 112;27.714460939536227;0.0007708145164601366
